,precision,recall,f1-score,support
0,1.0,0.9999604796639642,0.99998023944151,177124.0
1,0.0,0.0,0.0,1.0
2,0.36839877235686314,0.9954246496997426,0.5377722848756373,6994.0
3,0.7103588125950544,0.6522706113582291,0.6800765766980343,19334.0
4,0.16666666666666666,0.42857142857142855,0.24,119.0
5,0.5180210008513859,0.9959985449254274,0.6815607691828989,10996.0
6,0.0,0.0,0.0,2.0
7,0.25,1.0,0.4,1.0
8,0.9838165879973028,0.12354460392057243,0.2195222870039496,23619.0
accuracy,0.8842184810445443,0.8842184810445443,0.8842184810445443,0.8842184810445443
macro avg,0.44414020449636366,0.5773078131265961,0.4176569063557811,238190.0
weighted avg,0.9336565957730388,0.8842184810445443,0.8679565848264809,238190.0
