,precision,recall,f1-score,support
Ugradeable contract,0.0,0.0,0.0,3.0
Outdated Solidity version,0.818717732781663,0.9388252088844103,0.8746675011735252,23817.0
Delegatecall Injection,0.8095238095238095,0.009433962264150943,0.018650575973669772,1802.0
Unprotected Suicide,0.0,0.0,0.0,2.0
Authentication through tx.origin,0.0,0.0,0.0,1.0
Timestamp dependence,0.7329670329670329,0.9610951008645533,0.8316708229426434,694.0
Frozen Ether,0.7915011228191398,0.5939079714841219,0.6786137440758294,7715.0
Leaking Ether to arbitrary address,0.7346938775510204,0.782608695652174,0.7578947368421053,46.0
Contracts_No_Vul,1.0,1.0,1.0,6371.0
accuracy,0.8413389038589899,0.8413389038589899,0.8413389038589899,0.8413389038589899
macro avg,0.543044841738074,0.4762078821277122,0.4623885978897526,40451.0
weighted avg,0.8399809237897433,0.8413389038589899,0.8178811885470411,40451.0
