,precision,recall,f1-score,support
0.0,1.0,0.3333333333333333,0.5,3.0
2.0,0.9028048305414881,0.7784355712306336,0.8360201113791625,23817.0
3.0,0.0,0.0,0.0,1802.0
4.0,0.0,0.0,0.0,2.0
5.0,0.0,0.0,0.0,1.0
6.0,0.0,0.0,0.0,694.0
7.0,0.5628077912532158,0.9924821775761503,0.7182926829268292,7715.0
8.0,0.0,0.0,0.0,46.0
9.0,0.9939634630659253,0.9821064197143305,0.9879993683878099,6371.0
accuracy,0.8023287434179625,0.8023287434179625,0.8023287434179625,0.8023287434179625
macro avg,0.3843973427622921,0.3429286113171609,0.33803468474375575,40451.0
weighted avg,0.79552312629399,0.8023287434179625,0.7848795584162749,40451.0
