,precision,recall,f1-score,support
0.0,0.0,0.0,0.0,3.0
2.0,0.9819580419580419,0.5895788722341185,0.7367841120759766,23817.0
3.0,0.25133769322235433,0.9384017758046614,0.3964830011723329,1802.0
4.0,0.0,0.0,0.0,2.0
5.0,0.0,0.0,0.0,1.0
6.0,0.788391777509069,0.9394812680115274,0.8573307034845496,694.0
7.0,0.6297274979355905,0.9884640311082307,0.7693316519546028,7715.0
8.0,0.6271186440677966,0.8043478260869565,0.7047619047619047,46.0
9.0,0.9869301384782947,0.9956050855438706,0.9912486325988437,6371.0
accuracy,0.7513040468715235,0.7513040468715235,0.7513040468715235,0.7513040468715235
macro avg,0.47394042146346077,0.583986539865485,0.4951044451164679,40451.0
weighted avg,0.8791445481826919,0.7513040468715235,0.7698325098113866,40451.0
