,precision,recall,f1-score,support
0.0,0.0,0.0,0.0,3.0
2.0,0.8543028685790527,0.8065247512281144,0.8297265776856291,23817.0
3.0,0.23736600306278713,0.08601553829078801,0.12627291242362526,1802.0
4.0,1.0,1.0,1.0,2.0
5.0,0.0,0.0,0.0,1.0
6.0,0.7379310344827587,0.15417867435158503,0.2550655542312277,694.0
7.0,0.6418012059910523,0.855346727154893,0.733344446296605,7715.0
8.0,0.06042884990253411,0.6739130434782609,0.11091234347048298,46.0
9.0,0.9998430387694239,0.9998430387694239,0.9998430387694239,6371.0
accuracy,0.8027737262366814,0.8027737262366814,0.8027737262366814,0.8027737262366814
macro avg,0.5035192223097343,0.5084246414747849,0.45057387476411037,40451.0
weighted avg,0.8062363137552585,0.8027737262366814,0.796049827063371,40451.0
