,precision,recall,f1-score,support
0.0,1.0,0.6666666666666666,0.8,3.0
1.0,0.0,0.0,0.0,0.0
2.0,0.9988539776525642,0.4391401100054583,0.6100676621558563,23817.0
3.0,0.00156128024980484,0.0011098779134295228,0.0012974375608173856,1802.0
4.0,0.0,0.0,0.0,2.0
5.0,0.0,0.0,0.0,1.0
6.0,0.816923076923077,0.7651296829971181,0.7901785714285714,694.0
7.0,0.43374463519313305,0.41918340894361633,0.4263397271109353,7715.0
8.0,0.9166666666666666,0.717391304347826,0.8048780487804877,46.0
9.0,0.2791600318471338,0.8805525035316277,0.4239241319378849,6371.0
accuracy,0.4912363105980075,0.4912363105980075,0.4912363105980075,0.4912363105980075
macro avg,0.44469096685323795,0.3889173554405743,0.3856685578974553,40451.0
weighted avg,0.7300066331666871,0.4912363105980075,0.521869903095179,40451.0
