,precision,recall,f1-score,support
0.0,1.0,0.3333333333333333,0.5,3.0
2.0,0.8460932266834784,0.9015829029684679,0.8729571509878852,23817.0
3.0,0.7894736842105263,0.016648168701442843,0.03260869565217392,1802.0
4.0,1.0,1.0,1.0,2.0
5.0,0.0,0.0,0.0,1.0
6.0,0.8197530864197531,0.9567723342939481,0.8829787234042553,694.0
7.0,0.7225507842633068,0.728451069345431,0.7254889304847351,7715.0
8.0,0.925,0.8043478260869565,0.8604651162790697,46.0
9.0,0.9950023426518819,1.0,0.9974949115390637,6371.0
accuracy,0.8454179130305802,0.8454179130305802,0.8454179130305802,0.8454179130305802
macro avg,0.7886525693587719,0.6379039594143977,0.6524437253719092,40451.0
weighted avg,0.8430973727836057,0.8454179130305802,0.8271250931779233,40451.0
